time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-27T18:59:25.398Z,61.3286,-149.9991,42.1,5.3,mww,,,,0.86,ak,ak0212o88mof,2021-03-03T06:30:23.230Z,"3 km SSW of Point MacKenzie, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-24T10:05:59.873Z,63.9602,-22.2736,10,5.6,mww,,46,0.891,1.22,us,us6000dkmk,2021-02-27T23:58:07.202Z,"5 km ESE of Vogar, Iceland",earthquake,5.6,1.8,0.039,64,reviewed,us,us
